entry_id,sense_id,sense_group,pos,gloss_ru,labels,refs,raw_block,confidence_parse
1,1,none,межд.,"межд. а (выражает различные чув- ства: решимость, удивление, досаду, злорад- ство и т.п.); Сен меге самара бичиириҥ бе? — Бичибей а! Ты бу- дешь писать мне письма? — А как же не пи- сать!",т.п.,,"межд. а (выражает различные чув- ства: решимость, удивление, досаду, злорад- ство и т.п.); А, келдиҥ бе! А, ты пришёл! А, неме дедиҥ? А, что ты сказал?; Сен меге самара бичиириҥ бе? — Бичибей а! Ты бу- дешь писать мне письма? — А как же не пи- сать!; А-а, сен мени кезедип пе? (А. Адаров) А-а, ты меня наказываешь?",0.80
2,1,none,частица,"частица вопр. Иш кандый эмтир а, уулдар? Как работа, а, парни?",,,"частица вопр. Иш кандый эмтир а, уулдар? Как работа, а, парни?; Энем, адам, бис олорды [азатпайларды] ӱчӱлебис божотсоос кайдар, а? (И. Шинжин) Мама, папа, может быть мы втроём отпустим их [птенцов], а?",0.80
3,1,none,союз,"союз против. а; Ончозы бӱгӱн иште, а ол келбеди Все сегодня на работе, а он не пришёл",,,"союз против. а; Ончозы бӱгӱн иште, а ол келбеди Все сегодня на работе, а он не пришёл; Школго ÿренген кÿннеҥ ала оныҥ ады Лакап эмес, а Лазарь боло бер- ген (Л. Кокышев) Со дня учёбы в школе его имя стало не Лакап, а Лазарь",0.80
4,1,dot,,разг.,разг.,,разг.,0.70
4,2,paren,,беспорядочный; аа јок адыжу беспорядочная стрельба,,,беспорядочный; аа јок адыжу беспорядочная стрельба;,0.80
4,3,paren,,очень сильный; ужасный; невероятный; аа јок соок невероятный холод,,,очень сильный; ужасный; невероятный; аа јок соок невероятный холод;,0.80
4,4,paren,нареч.,нареч. беспорядоч- но,,,нареч. беспорядоч- но; аа јок јӱгӱрер беспорядочно бежать;,0.90
4,5,paren,нареч.,нареч. очень сильно; ужасно; невероятно; аа јок кыйгырар очень сильно кричать,,ср. аай јок,"нареч. очень сильно; ужасно; невероятно; аа јок кыйгырар очень сильно кричать; Бисти аа jок силкип, сиркиредип турды (Б. Бедюров) Нас ужасно трясло, заставляло содрогаться; Оноҥ ло ол кижи аа jок байы- ган (Н. Ялатов) С тех самых пор тот человек невероятно разбогател; ср. аай јок",1.00
5,1,paren,,"порядок, система; кандый да аай јок нет никакого порядка",,,"порядок, система; кандый да аай јок нет никакого порядка;",0.80
5,2,paren,,"суть, сущность",,,"суть, сущность; Jе эмди кенетийин ле керектиҥ аайы чала кубула берди (Б. Укачин) Но те- перь вдруг суть дела немного изменилась;",0.90
5,3,paren,,"толк, прок",С.,,"толк, прок; Аай болбой каларда, Jанап агазы jаар кöрÿп айтты: «Малысты ба- рып кöрöликтер!» (И. Шодоев) Когда толку не вышло, Дьанап, глядя на старшего брата, сказал: «Пойдёмте смотреть наш скот!»; Me, - аҥчылар jaнгaн! Аткан-тутканаар кайда?.. Э-э, аай болбогон туру не (С. Суразаков) На тебе, охотники вернулись! Где ваша добыча?.. Э-э, оказывается, проку не было;",1.00
5,4,paren,,"состоя- ние, положение, обстановка; ÿредÿниҥ аайы состояние учёбы; керектиҥ аайы положе- ние дела",,,"состоя- ние, положение, обстановка; ÿредÿниҥ аайы состояние учёбы; керектиҥ аайы положе- ние дела;",0.90
5,5,paren,,"характер; ход, течение",,,"характер; ход, течение; ооруныҥ ӧдӧр аайы характер протекания болезни; иштиҥ аайы ход работы;",0.90
5,6,paren,,"образ, склад; ма- нера, характер; образ jадын-jÿрÿмниҥ аайы жизни; базыдыныҥ аайы манера ходьбы",,,"образ, склад; ма- нера, характер; образ jадын-jÿрÿмниҥ аайы жизни; базыдыныҥ аайы манера ходьбы;",0.90
5,7,paren,,направление,,,"направление; јолдыҥ аайыла барар идти по направлению дороги; «Агаштардыҥ ор- тозы, ӧскӧн аайы…» деп, Кылык сананып (Ш. Шатинов) «Сердцевина деревьев, айтты направление роста…» — думая, сказал Кы- лык;",0.90
5,8,paren,,"поза, положение; баланыҥ отурган аайы поза сидения ребёнка",,,"поза, положение; баланыҥ отурган аайы поза сидения ребёнка;",0.80
5,9,paren,,"способ, сред- ство; ср. эп",,ср. эп,"способ, сред- ство; ср. эп; Чымалы jанар аайын чек тап- пай турган (Из сказки) Муравей совсем не мог найти способ вернуться домой;",0.90
5,10,paren,,"вид, подобие; кижи аайын jылыйтар терять че- ловеческое подобие",,,"вид, подобие; кижи аайын jылыйтар терять че- ловеческое подобие;",0.80
5,11,dot,,попутный; аай сал- кын попутный ветер,,,попутный; аай сал- кын попутный ветер;,0.80
5,12,dot,нареч.,"нареч. толком, хоро- шо",,,"нареч. толком, хоро- шо; Сулатай кемизин де укпаган. Улустыҥ айтканын аай укпадым деп, кийнинде бир де катап комыдабаган (Б. Укачин) Сулатай никого не слушал. После ни разу не жаловал- ся, что толком не послушал то, что говорили люди; ♦ бир (јаҥыс) аай",1.00
5,13,paren,,одновременно,,,одновременно;,0.80
5,14,paren,,"в один ряд, по порядку",,,"в один ряд, по порядку;",0.80
5,15,paren,,заодно; аайына чыгар,,,заодно; аайына чыгар,0.80
5,16,paren,,"выяснять, разбираться",,,"выяснять, разбираться;",0.80
5,17,paren,,решать,,,решать,0.60
6,1,paren,,беспорядочный; аай јок куучын беспорядочная речь,,,беспорядочный; аай јок куучын беспорядочная речь;,0.80
6,2,paren,,очень силь- ный; ужасный; невероятный; аай јок салкын очень сильный ветер,,,очень силь- ный; ужасный; невероятный; аай јок салкын очень сильный ветер; аай јок кӱкӱрт неверо- ятная гроза;,0.90
6,3,paren,,"перен. сумасбродный, взбал- мошный; аай јок улус сумасбродные люди",перен.,,"перен. сумасбродный, взбал- мошный; аай јок улус сумасбродные люди;",0.90
6,4,dot,нареч.,нареч.,,,нареч.,0.70
6,5,paren,,беспорядочно; ол аай јок куу- чындайт он беспорядочно говорит,,,беспорядочно; ол аай јок куу- чындайт он беспорядочно говорит;,0.80
6,6,paren,,очень сильно; ужасно; невероятно,,,очень сильно; ужасно; невероятно; аай јок сал- сильно,0.80
7,1,paren,,"порядок, система",,,"порядок, система; оныҥ ижинде аай-баш јок в его работе нет систе- мы;",0.80
7,2,paren,,"суть, сущность",,,"суть, сущность; керектиҥ аай-бажы јарт эмес суть дела неясна;",0.80
7,3,paren,,"способ, сред- ство; ср. аай-тööй",С.,ср. аай-тööй,"способ, сред- ство; Jе-jе, улустар, канайдатан? Аай-ба- жын айдыгар (С. Манитов) Ну-ну, люди, что делать? Подскажите способ; ср. аай-тööй",1.00
8,1,paren,,беспорядочный; аай-баш јок базыт беспорядочная ходьба,,,беспорядочный; аай-баш јок базыт беспорядочная ходьба;,0.80
8,2,paren,,очень сильный; ужасный; невероятный,,,очень сильный; ужасный; невероятный; аай-баш јок јаҥмыр очень сильный дождь; аай-баш јок изӱ болды была невероятная жара;,0.90
8,3,paren,,"перен. сумасбродный, взбалмошный; аай-баш јок кижи взбалмошный человек",перен.,,"перен. сумасбродный, взбалмошный; аай-баш јок кижи взбалмошный человек;",0.90
8,4,dot,нареч.,нареч.,,,нареч.,0.70
8,5,paren,,беспорядочно,,,беспорядочно; сӧстӧрди аай-баш јок айдар беспорядочно произносить слова;,0.80
8,6,paren,,очень сильно; ужасно; невероятно,,ср. аай јок,очень сильно; ужасно; невероятно; Кижи адын аай-бажы јок камчылайт (Ш. Шати- нов) Человек очень сильно бьёт лошадь кну- том; ср. аай јок,0.90
9,1,none,,"см. аай-баш, аай-тööй",,см. аай-баш,"см. аай-баш, аай-тööй",0.60
10,1,paren,,беспорядочный; аай-коой јок адыш беспорядочная стрель- ба,,,беспорядочный; аай-коой јок адыш беспорядочная стрель- ба;,0.80
10,2,paren,,очень сильный; ужасный; невероятный; аай-коой jок кериш ужасная перебранка,,,очень сильный; ужасный; невероятный; аай-коой jок кериш ужасная перебранка; аай-коой јок јоткон невероятная буря;,0.90
10,3,dot,,на- реч.,,,на- реч.,0.60
10,4,paren,,беспорядочно; аай-коой јок ажа- нар беспорядочно кушать,,,беспорядочно; аай-коой јок ажа- нар беспорядочно кушать;,0.80
10,5,paren,,очень сильно; ужасно; невероятно; аай-коой јок байыыр невероятно разбога- теть,,ср. аай јок,"очень сильно; ужасно; невероятно; …Эжиктиҥ кÿзÿҥизи аай-коой jок шыҥырай берди (Б. Укачин) …Очень сильно зазвенел дверной звонок; аай-коой јок байыыр невероятно разбога- теть; ср. аай јок, аай-баш јок",0.90
11,1,none,,"см. аай-баш, аай-тööй",,см. аай-баш,"см. аай-баш, аай-тööй",0.60
12,1,paren,,беспорядочный,,,беспорядочный; аай-теей јок јӱрӱм беспорядочная жизнь;,0.80
12,2,paren,,очень сильный; ужасный; невероятный; аай-теей јок туман невероятный туман,,,очень сильный; ужасный; невероятный; аай-теей јок јааш очень сильный дождь; аай-теей јок туман невероятный туман;,0.90
12,3,paren,,"перен. сумасбродный, взбалмошный; аай- теей јок ÿй кижи взбалмошная женщина; сильно; ужасно; невероятно; аайы-теейи jок чакпыланган суулар очень сильно бурля- щие реки; аай-теей јок айткыланар ужасно ругаться",перен.,ср. аай-баш јок,"перен. сумасбродный, взбалмошный; аай- теей јок ÿй кижи взбалмошная женщина; сильно; ужасно; невероятно; аайы-теейи jок чакпыланган суулар очень сильно бурля- щие реки; аай-теей јок айткыланар ужасно ругаться; ср. аай-баш јок",1.00
13,1,paren,,"порядок, система",,,"порядок, система; ончо немеде аай-тӧӧй бар во всём есть порядок;",0.80
13,2,paren,,"суть, сущность",,,"суть, сущность; Эмдиги калык-jон не- немениҥ аайы-тööйин чик jок ичкери, ажындыра кöрÿп jат (Б. Укачин) Современ- ный народ суть чего-либо видит значительно вперёд, заранее",0.90
14,1,none,,см. аай-теей јок,,см. аай-теей јок,см. аай-теей јок,0.60
15,1,paren,,понимать; ол алтай- лап аайлап турган он по-алтайски понима- ет; мен сени аайлабадым я тебя не понял,,,понимать; оҥдо-; ол алтай- лап аайлап турган он по-алтайски понима- ет; мен сени аайлабадым я тебя не понял;,0.90
15,2,paren,,"понимать, соображать, разбираться; ори- ентироваться; кеендикти аайлаар понимать искусство; алгебраны аайлаар соображать по алгебре; картаны jакшы айлаар хо- рошо ориентироваться по карте",,,"понимать, соображать, разбираться; ори- ентироваться; кеендикти аайлаар понимать искусство; алгебраны аайлаар соображать по алгебре; картаны jакшы айлаар хо- рошо ориентироваться по карте; [Буучай] чеденниҥ эжигинде чÿмдÿ сомокты jÿк арайдаҥ аайлап, кирип барды (Н. Бельче- кова) [Буучай], кое-как разобравшись с за- мысловатым замком на дверях забора, зашёл внутрь;",0.90
15,3,paren,,"толковать, объяснять; сурактыҥ учурын аайлап берер объяс- нить суть вопроса",,ср. јарта-,"толковать, объяснять; ср. јарта-; сурактыҥ учурын аайлап берер объяс- нить суть вопроса;",0.90
15,4,paren,,"приводить в порядок; улучшать; налаживать, поправлять; керекте- рин аайлап салар привести в порядок дела",,,"приводить в порядок; улучшать; налаживать, поправлять; керекте- рин аайлап салар привести в порядок дела;",0.90
15,5,paren,,"прибираться, убираться; наводить порядок; тураныҥ ичин аайлап салар прибраться в доме",,,"прибираться, убираться; наводить порядок; тураныҥ ичин аайлап салар прибраться в доме; ♦ аайлап салар",0.90
15,6,paren,,"покончить, разо- браться с кем-л., чем-л.",,,"покончить, разо- браться с кем-л., чем-л.;",0.80
15,7,paren,,убить кого-л.,,,убить кого-л.,0.80
16,1,paren,,"страд. от аайла- 1, 2, 4, 5; сурак аайлалган вопрос был понят; ке- ректер аайлалган дела налажены; кыптыҥ ичи аайлалган в комнате прибрано",страд.,,"страд. от аайла- 1, 2, 4, 5; сурак аайлалган вопрос был понят; ке- ректер аайлалган дела налажены; кыптыҥ ичи аайлалган в комнате прибрано;",1.00
16,2,paren,,"раз- личаться, распознаваться; ср. таныл-",,ср. таныл-,"раз- личаться, распознаваться; ср. таныл-; Кем, не керектÿ кыйгырып турган, ÿни торт аайлалбайт (Э. Тоюшев) Кто, почему кричит, голос совсем не распознаётся",0.90
17,1,paren,,"возвр. от аайла- 1, 2, 4, 5; караҥуйда аайланып болбос не суметь сориентироваться в темно- те; тураныҥ ичи аайланган дом приведён в порядок; öбöгöнниҥ су-кадыгы аайлан- ды здоровье мужчины улучшилось",возвр.;С.,,"возвр. от аайла- 1, 2, 4, 5; - ланбай отурганын» — деп, акам шымыра- нат (Д. Кыдыев) «Посмотри-ка на него, из-за страха не может сообразить», — шепчет мой старший брат; Черӱнеҥ jаҥы келген бала ондый да болбой. Эмеш аайланып алза... (Д. Каинчин) Парень, только что пришедший из армии, конечно, будет таким. Когда не- много разберётся…; караҥуйда аайланып болбос не суметь сориентироваться в темно- те; тураныҥ ичи аайланган дом приведён в порядок; öбöгöнниҥ су-кадыгы аайлан- ды здоровье мужчины улучшилось; Оныҥ тӧрӧӧндӧри коркышту кудайзак улус болгон ине. Олорго jÿрбей барарда, ке- рек там аайланган (С. Суразаков) Его родственники были ведь очень религиозны- ми. Когда перестал к ним ходить, дело нала- дилось ещё лучше",1.00
18,1,paren,,"ориентирование, ори- ентация; тÿнде оныҥ аайланыжы коомой ночью у него ориентация плохая",,,"ориентирование, ори- ентация; тÿнде оныҥ аайланыжы коомой ночью у него ориентация плохая;",0.90
18,2,paren,,улучше- ние; су-кадыктыҥ аайланыжы улучшение здоровья,,,улучше- ние; су-кадыктыҥ аайланыжы улучшение здоровья,0.80
19,1,paren,,взаимн.-совм. от аайла-; эки кижи бой-бойын аайлашты два чело- века поняли друг друга; ол меге задачаныҥ бодолгозын аайлашты он помог мне разо- браться в решении задачи; шылтагын кожо аайлажар; вместе объяснить причину; ке- ректерди аайлажар вместе налаживать дела; айылдыҥ ичин аайлажар вместе прибираться в доме,взаимн.,,взаимн.-совм. от аайла-; эки кижи бой-бойын аайлашты два чело- века поняли друг друга; ол меге задачаныҥ бодолгозын аайлашты он помог мне разо- браться в решении задачи; шылтагын кожо аайлажар; вместе объяснить причину; ке- ректерди аайлажар вместе налаживать дела; айылдыҥ ичин аайлажар вместе прибираться в доме;,1.00
19,2,paren,,разбираться с кем-л.,,,"разбираться с кем-л.; Койыҥ артып калза, олор бойына кожуп алар. Оноҥ олорло аайлажып кӧр (Д. Ка- инчин) Если твоя овца отстанет, они присо- единят её к своим овцам (букв. к себе). Потом попробуй с ними разобраться",0.90
20,1,paren,,понимание; улус ортодо аайлаш болор керек между людьми должно быть понимание,,,понимание; улус ортодо аайлаш болор керек между людьми должно быть понимание;,0.80
20,2,paren,,"приведение в порядок; улучшение, налаживание; керектер аайлаш налаживание дел",,,"приведение в порядок; улучшение, налаживание; керектер аайлаш налаживание дел;",0.80
20,3,paren,,уборка; приведение в порядок; тура аайлаш уборка дома; кийим- -,,,уборка; приведение в порядок; тура аайлаш уборка дома; кийим- -,0.80
20,4,paren,,разбирать,,,"разбирать; [Борбок-Кара] јаҥыс ла меҥдеп, штаныныҥ сырканчактарын аай- лаштырып болбой, бирӱзине кийип, оноҥ ойто бирӱзине кийип шыралайт (Б. Ука- чин) [Борбок-Кара] только спеша, не разби- рая штанины, мучается, надевая то одну, то другую;",0.90
20,5,paren,,"отличать, различать, распознавать; ср. ылгаштыр-",,ср. ылгаштыр-,"отличать, различать, распознавать; ол ӧҥдӧрди аайлаштырбайт он не различа- ет цвета; ср. ылгаштыр-",0.90
21,1,paren,,"толковый, разумный, дельный, путный; аайлу специалист толко- вый специалист; аайлу кижи болгон болзо, болужып берер эди если бы был разумным человеком, помог бы; аайлу куучын путный разговор",,,"толковый, разумный, дельный, путный; аайлу специалист толко- вый специалист; аайлу кижи болгон болзо, болужып берер эди если бы был разумным человеком, помог бы; аайлу куучын путный разговор;",0.90
21,2,paren,,"сносный, терпимый, нормаль- ный; ол аайлу иште иштеп јат он работа- ет на сносной работе; аайлу курсак та јок нормальной еды то нет",,,"сносный, терпимый, нормаль- ный; ол аайлу иште иштеп јат он работа- ет на сносной работе; аайлу курсак та јок нормальной еды то нет;",0.90
21,3,paren,,"лучше; Олорды бистеҥ аайлу деп пе? Хотите сказать, что они лучше нас?",,,"лучше; Олорды бистеҥ аайлу деп пе? Хотите сказать, что они лучше нас?;",0.80
