entry_id,sense_id,sense_group,pos,gloss_ru,labels,refs,raw_block,confidence_parse
1,1,none,межд.,"межд. а (выражает различные чувства: решимость, удивление, досаду, злорадство и т.п.); Сен меге самара бичиириҥ бе? — Бичибей а! Ты будешь писать мне письма? — А как же не писать!",т.п.,,"межд. а (выражает различные чувства: решимость, удивление, досаду, злорадство и т.п.); А, келдиҥ бе! А, ты пришёл! А, неме дедиҥ? А, что ты сказал?; Сен меге самара бичиириҥ бе? — Бичибей а! Ты будешь писать мне письма? — А как же не писать!; А-а, сен мени кезедип пе? (А. Адаров) А-а, ты меня наказываешь?",0.8
2,1,none,частица,"частица вопр. Иш кандый эмтир а, уулдар? Как работа, а, парни?",,,"частица вопр. Иш кандый эмтир а, уулдар? Как работа, а, парни?; Энем, адам, бис олорды [азатпайларды] ӱчӱлебис божотсоос кайдар, а? (И. Шинжин) Мама, папа, может быть мы втроём отпустим их [птенцов], а?",0.8
3,1,none,союз,"союз против. а; Ончозы бӱгӱн иште, а ол келбеди Все сегодня на работе, а он не пришёл",,,"союз против. а; Ончозы бӱгӱн иште, а ол келбеди Все сегодня на работе, а он не пришёл; Школго ӱренген кӱннеҥ ала оныҥ ады Лакап эмес, а Лазарь боло берген (Л. Кокышев) Со дня учёбы в школе его имя стало не Лакап, а Лазарь",0.8
4,1,dot,,разг.,разг.,,разг.,0.7
4,2,paren,,беспорядочный; аа јок адыжу беспорядочная стрельба,,,беспорядочный; аа јок адыжу беспорядочная стрельба;,0.8
4,3,paren,,очень сильный; ужасный; невероятный; аа јок соок невероятный холод,,,очень сильный; ужасный; невероятный; аа јок соок невероятный холод;,0.8
4,4,paren,нареч.,нареч. беспорядочно,,,нареч. беспорядочно; аа јок јӱгӱрер беспорядочно бежать;,0.9
4,5,paren,нареч.,нареч. очень сильно; ужасно; невероятно; аа јок кыйгырар очень сильно кричать,,ср. аай јок,"нареч. очень сильно; ужасно; невероятно; аа јок кыйгырар очень сильно кричать; Бисти аа jок силкип, сиркиредип турды (Б. Бедюров) Нас ужасно трясло, заставляло содрогаться; Оноҥ ло ол кижи аа jок байыган (Н. Ялатов) С тех самых пор тот человек невероятно разбогател; ср. аай јок",1.0
5,1,paren,,"порядок, система; кандый да аай јок нет никакого порядка",,,"порядок, система; кандый да аай јок нет никакого порядка;",0.8
5,2,paren,,"суть, сущность",,,"суть, сущность; Jе эмди кенетийин ле керектиҥ аайы чала кубула берди (Б. Укачин) Но теперь вдруг суть дела немного изменилась;",0.9
5,3,paren,,"толк, прок",С.,,"толк, прок; Аай болбой каларда, Jанап агазы jаар кӧрӱп айтты: «Малысты барып кӧрӧликтер!» (И. Шодоев) Когда толку не вышло, Дьанап, глядя на старшего брата, сказал: «Пойдёмте смотреть наш скот!»; Me, - аҥчылар jaнгaн! Аткан-тутканаар кайда?.. Э-э, аай болбогон туру не (С. Суразаков) На тебе, охотники вернулись! Где ваша добыча?.. Э-э, оказывается, проку не было;",1.0
5,4,paren,,"состояние, положение, обстановка; ӱредӱниҥ аайы состояние учёбы; керектиҥ аайы положение дела",,,"состояние, положение, обстановка; ӱредӱниҥ аайы состояние учёбы; керектиҥ аайы положение дела;",0.9
5,5,paren,,"характер; ход, течение",,,"характер; ход, течение; ооруныҥ ӧдӧр аайы характер протекания болезни; иштиҥ аайы ход работы;",0.9
5,6,paren,,"образ, склад; манера, характер; образ jадын-jӱрӱмниҥ аайы жизни; базыдыныҥ аайы манера ходьбы",,,"образ, склад; манера, характер; образ jадын-jӱрӱмниҥ аайы жизни; базыдыныҥ аайы манера ходьбы;",0.9
5,7,paren,,направление,,,"направление; јолдыҥ аайыла барар идти по направлению дороги; «Агаштардыҥ ортозы, ӧскӧн аайы…» деп, Кылык сананып (Ш. Шатинов) «Сердцевина деревьев, айтты направление роста…» — думая, сказал Кылык;",0.9
5,8,paren,,"поза, положение; баланыҥ отурган аайы поза сидения ребёнка",,,"поза, положение; баланыҥ отурган аайы поза сидения ребёнка;",0.8
5,9,paren,,"способ, средство; ср. эп",,ср. эп,"способ, средство; ср. эп; Чымалы jанар аайын чек таппай турган (Из сказки) Муравей совсем не мог найти способ вернуться домой;",0.9
5,10,paren,,"вид, подобие; кижи аайын jылыйтар терять человеческое подобие",,,"вид, подобие; кижи аайын jылыйтар терять человеческое подобие;",0.8
5,11,dot,,попутный; аай салкын попутный ветер,,,попутный; аай салкын попутный ветер;,0.8
5,12,dot,нареч.,"нареч. толком, хорошо",,,"нареч. толком, хорошо; Сулатай кемизин де укпаган. Улустыҥ айтканын аай укпадым деп, кийнинде бир де катап комыдабаган (Б. Укачин) Сулатай никого не слушал. После ни разу не жаловался, что толком не послушал то, что говорили люди; ♦ бир (јаҥыс) аай",1.0
5,13,paren,,одновременно,,,одновременно;,0.8
5,14,paren,,"в один ряд, по порядку",,,"в один ряд, по порядку;",0.8
5,15,paren,,заодно; аайына чыгар,,,заодно; аайына чыгар,0.8
5,16,paren,,"выяснять, разбираться",,,"выяснять, разбираться;",0.8
5,17,paren,,решать,,,решать,0.6
6,1,paren,,беспорядочный; аай јок куучын беспорядочная речь,,,беспорядочный; аай јок куучын беспорядочная речь;,0.8
6,2,paren,,очень сильный; ужасный; невероятный; аай јок салкын очень сильный ветер,,,очень сильный; ужасный; невероятный; аай јок салкын очень сильный ветер; аай јок кӱкӱрт невероятная гроза;,0.9
6,3,paren,,"перен. сумасбродный, взбалмошный; аай јок улус сумасбродные люди",перен.,,"перен. сумасбродный, взбалмошный; аай јок улус сумасбродные люди;",0.9
6,4,dot,нареч.,нареч.,,,нареч.,0.7
6,5,paren,,беспорядочно; ол аай јок куучындайт он беспорядочно говорит,,,беспорядочно; ол аай јок куучындайт он беспорядочно говорит;,0.8
6,6,paren,,очень сильно; ужасно; невероятно,,,очень сильно; ужасно; невероятно; аай јок салсильно,0.8
7,1,paren,,"порядок, система",,,"порядок, система; оныҥ ижинде аай-баш јок в его работе нет системы;",0.8
7,2,paren,,"суть, сущность",,,"суть, сущность; керектиҥ аай-бажы јарт эмес суть дела неясна;",0.8
7,3,paren,,"способ, средство; ср. аай-тӧӧй",С.,ср. аай-тӧӧй,"способ, средство; Jе-jе, улустар, канайдатан? Аай-бажын айдыгар (С. Манитов) Ну-ну, люди, что делать? Подскажите способ; ср. аай-тӧӧй",1.0
8,1,paren,,беспорядочный; аай-баш јок базыт беспорядочная ходьба,,,беспорядочный; аай-баш јок базыт беспорядочная ходьба;,0.8
8,2,paren,,очень сильный; ужасный; невероятный,,,очень сильный; ужасный; невероятный; аай-баш јок јаҥмыр очень сильный дождь; аай-баш јок изӱ болды была невероятная жара;,0.9
8,3,paren,,"перен. сумасбродный, взбалмошный; аай-баш јок кижи взбалмошный человек",перен.,,"перен. сумасбродный, взбалмошный; аай-баш јок кижи взбалмошный человек;",0.9
8,4,dot,нареч.,нареч.,,,нареч.,0.7
8,5,paren,,беспорядочно,,,беспорядочно; сӧстӧрди аай-баш јок айдар беспорядочно произносить слова;,0.8
8,6,paren,,очень сильно; ужасно; невероятно,,ср. аай јок,очень сильно; ужасно; невероятно; Кижи адын аай-бажы јок камчылайт (Ш. Шатинов) Человек очень сильно бьёт лошадь кнутом; ср. аай јок,0.9
9,1,none,,"см. аай-баш, аай-тӧӧй",,см. аай-баш,"см. аай-баш, аай-тӧӧй",0.6
10,1,paren,,беспорядочный; аай-коой јок адыш беспорядочная стрельба,,,беспорядочный; аай-коой јок адыш беспорядочная стрельба;,0.8
10,2,paren,,очень сильный; ужасный; невероятный; аай-коой jок кериш ужасная перебранка,,,очень сильный; ужасный; невероятный; аай-коой jок кериш ужасная перебранка; аай-коой јок јоткон невероятная буря;,0.9
10,3,dot,,нареч.,,,нареч.,0.6
