entry_id,sense_id,ex_id,example_alt_raw,example_alt_norm,example_ru,source_note,raw_line
1,1,1,"А-а, сен мени кезедип пе?","а-а, сен мени кезедип пе?","А-а, ты меня наказываешь?",А. Адаров,"А-а, сен мени кезедип пе? (А. Адаров) А-а, ты меня наказываешь?"
2,1,1,"Энем, адам, бис олорды [азатпайларды] ӱчӱлебис божотсоос кайдар, а?","энем, адам, бис олорды [азатпайларды] ӱчӱлебис божотсоос кайдар, а?","Мама, папа, может быть мы втроём отпустим их [птенцов], а?",И. Шинжин,"Энем, адам, бис олорды [азатпайларды] ӱчӱлебис божотсоос кайдар, а? (И. Шинжин) Мама, папа, может быть мы втроём отпустим их [птенцов], а?"
3,1,1,"Школго ÿренген кÿннеҥ ала оныҥ ады Лакап эмес, а Лазарь боло бер- ген","школго ÿренген кÿннеҥ ала оныҥ ады лакап эмес, а лазарь боло бер- ген","Со дня учёбы в школе его имя стало не Лакап, а Лазарь",Л. Кокышев,"Школго ÿренген кÿннеҥ ала оныҥ ады Лакап эмес, а Лазарь боло бер- ген (Л. Кокышев) Со дня учёбы в школе его имя стало не Лакап, а Лазарь"
4,5,1,"Бисти аа jок силкип, сиркиредип турды","бисти аа jок силкип, сиркиредип турды","Нас ужасно трясло, заставляло содрогаться",Б. Бедюров,"Бисти аа jок силкип, сиркиредип турды (Б. Бедюров) Нас ужасно трясло, заставляло содрогаться"
4,5,2,Оноҥ ло ол кижи аа jок байы- ган,оноҥ ло ол кижи аа jок байы- ган,С тех самых пор тот человек невероятно разбогател,Н. Ялатов,Оноҥ ло ол кижи аа jок байы- ган (Н. Ялатов) С тех самых пор тот человек невероятно разбогател
5,2,1,Jе эмди кенетийин ле керектиҥ аайы чала кубула берди,jе эмди кенетийин ле керектиҥ аайы чала кубула берди,Но те- перь вдруг суть дела немного изменилась,Б. Укачин,Jе эмди кенетийин ле керектиҥ аайы чала кубула берди (Б. Укачин) Но те- перь вдруг суть дела немного изменилась
5,3,2,"Аай болбой каларда, Jанап агазы jаар кöрÿп айтты: «Малысты ба- рып кöрöликтер!»","аай болбой каларда, jанап агазы jаар кöрÿп айтты: малысты ба- рып кöрöликтер!","Когда толку не вышло, Дьанап, глядя на старшего брата, сказал: «Пойдёмте смотреть наш скот!»",И. Шодоев,"Аай болбой каларда, Jанап агазы jаар кöрÿп айтты: «Малысты ба- рып кöрöликтер!» (И. Шодоев) Когда толку не вышло, Дьанап, глядя на старшего брата, сказал: «Пойдёмте смотреть наш скот!»"
5,3,3,"Me, - аҥчылар jaнгaн! Аткан-тутканаар кайда?.. Э-э, аай болбогон туру не","me, - аҥчылар jaнгaн! аткан-тутканаар кайда?.. э-э, аай болбогон туру не","На тебе, охотники вернулись! Где ваша добыча?.. Э-э, оказывается, проку не было",С. Суразаков,"Me, - аҥчылар jaнгaн! Аткан-тутканаар кайда?.. Э-э, аай болбогон туру не (С. Суразаков) На тебе, охотники вернулись! Где ваша добыча?.. Э-э, оказывается, проку не было"
5,7,4,"«Агаштардыҥ ор- тозы, ӧскӧн аайы…» деп, Кылык сананып","агаштардыҥ ор- тозы, ӧскӧн аайы… деп, кылык сананып","«Сердцевина деревьев, айтты направление роста…» — думая, сказал Кы- лык",Ш. Шатинов,"«Агаштардыҥ ор- тозы, ӧскӧн аайы…» деп, Кылык сананып (Ш. Шатинов) «Сердцевина деревьев, айтты направление роста…» — думая, сказал Кы- лык"
5,9,5,Чымалы jанар аайын чек тап- пай турган,чымалы jанар аайын чек тап- пай турган,Муравей совсем не мог найти способ вернуться домой,Из сказки,Чымалы jанар аайын чек тап- пай турган (Из сказки) Муравей совсем не мог найти способ вернуться домой
5,12,6,"Сулатай кемизин де укпаган. Улустыҥ айтканын аай укпадым деп, кийнинде бир де катап комыдабаган","сулатай кемизин де укпаган. улустыҥ айтканын аай укпадым деп, кийнинде бир де катап комыдабаган","Сулатай никого не слушал. После ни разу не жаловал- ся, что толком не послушал то, что говорили люди",Б. Укачин,"Сулатай кемизин де укпаган. Улустыҥ айтканын аай укпадым деп, кийнинде бир де катап комыдабаган (Б. Укачин) Сулатай никого не слушал. После ни разу не жаловал- ся, что толком не послушал то, что говорили люди"
7,3,1,"Jе-jе, улустар, канайдатан? Аай-ба- жын айдыгар","jе-jе, улустар, канайдатан? аай-ба- жын айдыгар","Ну-ну, люди, что делать? Подскажите способ",С. Манитов,"Jе-jе, улустар, канайдатан? Аай-ба- жын айдыгар (С. Манитов) Ну-ну, люди, что делать? Подскажите способ"
8,6,1,Кижи адын аай-бажы јок камчылайт,кижи адын аай-бажы јок камчылайт,Человек очень сильно бьёт лошадь кну- том,Ш. Шати- нов,Кижи адын аай-бажы јок камчылайт (Ш. Шати- нов) Человек очень сильно бьёт лошадь кну- том
10,5,1,…Эжиктиҥ кÿзÿҥизи аай-коой jок шыҥырай берди,…эжиктиҥ кÿзÿҥизи аай-коой jок шыҥырай берди,…Очень сильно зазвенел дверной звонок,Б. Укачин,…Эжиктиҥ кÿзÿҥизи аай-коой jок шыҥырай берди (Б. Укачин) …Очень сильно зазвенел дверной звонок
13,2,1,"Эмдиги калык-jон не- немениҥ аайы-тööйин чик jок ичкери, ажындыра кöрÿп jат","эмдиги калык-jон не- немениҥ аайы-тööйин чик jок ичкери, ажындыра кöрÿп jат","Современ- ный народ суть чего-либо видит значительно вперёд, заранее",Б. Укачин,"Эмдиги калык-jон не- немениҥ аайы-тööйин чик jок ичкери, ажындыра кöрÿп jат (Б. Укачин) Современ- ный народ суть чего-либо видит значительно вперёд, заранее"
15,2,1,"[Буучай] чеденниҥ эжигинде чÿмдÿ сомокты jÿк арайдаҥ аайлап, кирип барды","[буучай] чеденниҥ эжигинде чÿмдÿ сомокты jÿк арайдаҥ аайлап, кирип барды","[Буучай], кое-как разобравшись с за- мысловатым замком на дверях забора, зашёл внутрь",Н. Бельче- кова,"[Буучай] чеденниҥ эжигинде чÿмдÿ сомокты jÿк арайдаҥ аайлап, кирип барды (Н. Бельче- кова) [Буучай], кое-как разобравшись с за- мысловатым замком на дверях забора, зашёл внутрь"
16,2,1,"Кем, не керектÿ кыйгырып турган, ÿни торт аайлалбайт","кем, не керектÿ кыйгырып турган, ÿни торт аайлалбайт","Кто, почему кричит, голос совсем не распознаётся",Э. Тоюшев,"Кем, не керектÿ кыйгырып турган, ÿни торт аайлалбайт (Э. Тоюшев) Кто, почему кричит, голос совсем не распознаётся"
17,1,1,"- ланбай отурганын» — деп, акам шымыра- нат","- ланбай отурганын — деп, акам шымыра- нат","«Посмотри-ка на него, из-за страха не может сообразить», — шепчет мой старший брат",Д. Кыдыев,"- ланбай отурганын» — деп, акам шымыра- нат (Д. Кыдыев) «Посмотри-ка на него, из-за страха не может сообразить», — шепчет мой старший брат"
17,1,2,Черӱнеҥ jаҥы келген бала ондый да болбой. Эмеш аайланып алза...,черӱнеҥ jаҥы келген бала ондый да болбой. эмеш аайланып алза...,"Парень, только что пришедший из армии, конечно, будет таким. Когда не- много разберётся…",Д. Каинчин,"Черӱнеҥ jаҥы келген бала ондый да болбой. Эмеш аайланып алза... (Д. Каинчин) Парень, только что пришедший из армии, конечно, будет таким. Когда не- много разберётся…"
